entity_id,timestamp,source_ip,geo_location,auth_method,auth_result,resource_accessed,device_id,mac_address,os_version,data_downloaded,command_sequence,label
E001,2026-08-12 16:55:00,10.28.25.113,"(18.5204, 73.8567)",SSO,success,Monitoring System,DEV001,66:be:fd:06:93:39,Windows 11,17.0,['Monitoring System'],normal
E001,2026-08-12 18:52:00,10.28.25.113,"(18.5204, 73.8567)",password,success,Documentation Portal,DEV001,66:be:fd:06:93:39,Windows 11,48.33,"['Monitoring System', 'Code Repository', 'Documentation Portal']",normal
E001,2026-08-13 16:03:00,10.28.25.113,"(18.5204, 73.8567)",password,success,Code Repository,DEV001,66:be:fd:06:93:39,Windows 11,0.79,"['Development Server', 'Documentation Portal', 'Code Repository']",normal
E001,2026-08-13 18:29:00,10.28.25.113,"(18.5204, 73.8567)",SSO,success,Code Repository,DEV001,66:be:fd:06:93:39,Windows 11,41.14,"['Development Server', 'Code Repository']",normal
E001,2026-08-14 17:40:00,10.28.25.113,"(18.5204, 73.8567)",MFA,success,Development Server,DEV001,66:be:fd:06:93:39,Windows 11,31.02,"['Code Repository', 'Monitoring System', 'Development Server']",normal
E001,2026-08-14 17:48:00,10.28.25.113,"(18.5204, 73.8567)",password,success,Documentation Portal,DEV001,66:be:fd:06:93:39,Windows 11,23.27,"['Code Repository', 'Monitoring System', 'Documentation Portal']",normal
E001,2026-08-14 18:23:00,10.28.25.113,"(18.5204, 73.8567)",password,success,Development Server,DEV001,66:be:fd:06:93:39,Windows 11,47.32,"['Monitoring System', 'Development Server']",normal
E001,2026-08-15 13:17:00,10.28.25.113,"(18.5204, 73.8567)",password,success,Documentation Portal,DEV001,66:be:fd:06:93:39,Windows 11,26.92,"['Monitoring System', 'Documentation Portal']",normal
E001,2026-08-15 18:08:00,10.28.25.113,"(18.5204, 73.8567)",biometric,success,Documentation Portal,DEV001,66:be:fd:06:93:39,Windows 11,36.36,"['Development Server', 'Documentation Portal']",normal
E001,2026-08-16 10:40:00,10.28.25.113,"(18.5204, 73.8567)",biometric,success,Documentation Portal,DEV001,66:be:fd:06:93:39,Windows 11,14.06,"['Code Repository', 'Development Server', 'Documentation Portal']",normal
E001,2026-08-16 13:45:00,10.28.25.113,"(18.5204, 73.8567)",biometric,success,Code Repository,DEV001,66:be:fd:06:93:39,Windows 11,42.79,['Code Repository'],normal
E001,2026-08-16 17:07:00,10.28.25.113,"(18.5204, 73.8567)",SSO,success,Monitoring System,DEV001,66:be:fd:06:93:39,Windows 11,13.87,['Monitoring System'],normal
E001,2026-08-16 17:56:00,10.28.25.113,"(18.5204, 73.8567)",password,success,Documentation Portal,DEV001,66:be:fd:06:93:39,Windows 11,32.12,"['Development Server', 'Monitoring System', 'Documentation Portal']",normal
E001,2026-08-17 10:35:00,10.28.25.113,"(18.5204, 73.8567)",MFA,success,Development Server,DEV001,66:be:fd:06:93:39,Windows 11,39.37,['Development Server'],normal
E001,2026-08-17 14:35:00,10.28.25.113,"(18.5204, 73.8567)",MFA,success,Code Repository,DEV001,66:be:fd:06:93:39,Windows 11,40.67,['Code Repository'],normal
E001,2026-08-17 16:05:00,10.28.25.113,"(18.5204, 73.8567)",MFA,success,Development Server,DEV001,66:be:fd:06:93:39,Windows 11,29.84,"['Documentation Portal', 'Development Server']",normal
E001,2026-08-18 11:29:00,10.28.25.113,"(18.5204, 73.8567)",SSO,success,Documentation Portal,DEV001,66:be:fd:06:93:39,Windows 11,5.59,['Documentation Portal'],normal
